iteration,accuracy,precision,recall,f1,roc_auc,timestamp,strategy_type,split_type,initial_size,batch_size,iterations,iteration_id
38,0.95096921322691,0.9510115982732615,0.9509881422924902,0.9509689582317569,0.986275223632203,20250730_162204,margin,random,100,50,40,38
39,0.9475484606613455,0.9476721806075739,0.9475790513833993,0.9475467557053403,0.9879836696484293,20250730_162204,margin,random,100,50,40,39
40,0.9395667046750285,0.9398101898101898,0.9396089036821302,0.9395616755410792,0.9862258165175786,20250730_162204,margin,random,100,50,40,40
1,0.8563283922462942,0.8596985135773938,0.8561628874557936,0.8559491281495077,0.9306116080715623,20250730_162204,random,random,100,50,40,1
2,0.8494868871151653,0.8521906230010172,0.84933690451425,0.8491572067423461,0.9388625962138548,20250730_162204,random,random,100,50,40,2
3,0.863169897377423,0.8635636996073776,0.8631136883711255,0.8631184641798033,0.9423184938631163,20250730_162204,random,random,100,50,40,3
4,0.8597491448118586,0.8600416341399948,0.8597982109423756,0.8597309074170155,0.94550395256917,20250730_162204,random,random,100,50,40,4
5,0.8757126567844926,0.8757932297193267,0.8757385063449137,0.8757100712119026,0.9508971291866031,20250730_162204,random,random,100,50,40,5
6,0.8768529076396807,0.876855347874476,0.8768592677345537,0.8768527475270695,0.9506448928645723,20250730_162204,random,random,100,50,40,6
7,0.87115165336374,0.8711618473060121,0.8711618473060121,0.87115165336374,0.9526835864364467,20250730_162204,random,random,100,50,40,7
8,0.8734321550741163,0.8736445845820846,0.8734735801955482,0.8734216223596185,0.9502470355731225,20250730_162204,random,random,100,50,40,8
9,0.8757126567844926,0.876016133229248,0.8757619097149989,0.8756964951906885,0.9523325358851674,20250730_162204,random,random,100,50,40,9
10,0.879133409350057,0.8800439899511108,0.8792178073642605,0.8790766525141525,0.9548106927397545,20250730_162204,random,random,100,50,40,10
11,0.8882554161915621,0.8891859774212716,0.8883399209486166,0.8882029428904429,0.9560120657374662,20250730_162204,random,random,100,50,40,11
12,0.887115165336374,0.8885285338565584,0.8872191595589765,0.8870305626287321,0.9559704597462034,20250730_162204,random,random,100,50,40,12
13,0.8928164196123147,0.893756971156352,0.8929009777407947,0.8927660880785881,0.9562591013105887,20250730_162204,random,random,100,50,40,13
14,0.8859749144811858,0.8863376117756057,0.8860281880590806,0.8859569731394212,0.9576971083836072,20250730_162204,random,random,100,50,40,14
15,0.8905359179019384,0.8909023245162029,0.8905892448512586,0.8905186942138443,0.9583680049927189,20250730_162204,random,random,100,50,40,15
16,0.8996579247434435,0.900152026323462,0.8997191595589765,0.8996358718268831,0.9601674641148326,20250730_162204,random,random,100,50,40,16
17,0.8996579247434435,0.8999281893303915,0.8997035573122529,0.8996473562118359,0.961176409402954,20250730_162204,random,random,100,50,40,17
18,0.9019384264538198,0.9023141063676963,0.9019918868317038,0.9019229968999022,0.9630226752652381,20250730_162204,random,random,100,50,40,18
19,0.8985176738882554,0.8987418831168831,0.8985593925525275,0.8985092287387932,0.9654358227584772,20250730_162204,random,random,100,50,40,19
