timestamp,strategy_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,duration_sec,Data Splitting Strategy (extra column)
20250513_203059,uncertainty,1,0.1,100,50,150,0.876852908,0.876852908,0,1.62,Manual Temporal Split
20250513_203059,random,1,0.1,100,50,150,0.850627138,0.850627138,0,1.62,Manual Temporal Split
20250513_203059,entropy,1,0.1,100,50,150,0.811858609,0.811858609,0,1.62,Manual Temporal Split
20250513_203059,margin,1,0.1,100,50,150,0.856328392,0.856328392,0,1.62,Manual Temporal Split
20250513_203110,uncertainty,1,0.1,100,100,200,0.803876853,0.803876853,0,1.86,Manual Temporal Split
20250513_203110,random,1,0.1,100,100,200,0.885974914,0.885974914,0,1.86,Manual Temporal Split
20250513_203110,entropy,1,0.1,100,100,200,0.822120867,0.822120867,0,1.86,Manual Temporal Split
20250513_203110,margin,1,0.1,100,100,200,0.884834664,0.884834664,0,1.86,Manual Temporal Split
20250513_203300,uncertainty,50,0.1,200,1,250,0.875712657,0.871721779,0.006700369,91.49,Manual Temporal Split
20250513_203300,random,50,0.1,200,1,250,0.860889396,0.865655644,0.005861777,91.49,Manual Temporal Split
20250513_203300,entropy,50,0.1,200,1,250,0.89281642,0.896465222,0.007487551,91.49,Manual Temporal Split
20250513_203300,margin,50,0.1,200,1,250,0.885974914,0.88722919,0.00586426,91.49,Manual Temporal Split
20250513_203356,uncertainty,25,0.1,200,2,250,0.924743444,0.910239453,0.011922117,45.65,Manual Temporal Split
20250513_203356,random,25,0.1,200,2,250,0.907639681,0.904857469,0.005339297,45.65,Manual Temporal Split
20250513_203356,entropy,25,0.1,200,2,250,0.903078677,0.909053592,0.005233043,45.65,Manual Temporal Split
20250513_203356,margin,25,0.1,200,2,250,0.901938426,0.905039909,0.006566261,45.65,Manual Temporal Split
20250513_203413,uncertainty,5,0.1,200,10,250,0.89281642,0.889395667,0.007424776,9.52,Manual Temporal Split
20250513_203413,random,5,0.1,200,10,250,0.891676169,0.892360319,0.00908201,9.52,Manual Temporal Split
20250513_203413,entropy,5,0.1,200,10,250,0.904218928,0.888027366,0.00955092,9.52,Manual Temporal Split
20250513_203413,margin,5,0.1,200,10,250,0.895096921,0.888255416,0.008773265,9.52,Manual Temporal Split
20250513_203424,uncertainty,1,0.1,200,50,250,0.919042189,0.919042189,0,2.17,Manual Temporal Split
20250513_203424,random,1,0.1,200,50,250,0.88027366,0.88027366,0,2.17,Manual Temporal Split
20250513_203424,entropy,1,0.1,200,50,250,0.887115165,0.887115165,0,2.17,Manual Temporal Split
20250513_203424,margin,1,0.1,200,50,250,0.890535918,0.890535918,0,2.17,Manual Temporal Split
20250513_203431,uncertainty,1,0.1,200,100,300,0.885974914,0.885974914,0,1.91,Manual Temporal Split
20250513_203431,random,1,0.1,200,100,300,0.884834664,0.884834664,0,1.91,Manual Temporal Split
20250513_203431,entropy,1,0.1,200,100,300,0.897377423,0.897377423,0,1.91,Manual Temporal Split
20250513_203431,margin,1,0.1,200,100,300,0.888255416,0.888255416,0,1.91,Manual Temporal Split
20250513_205111,uncertainty,78,0.1,100,50,4000,0.916761688,0.915358302,0.013341201,944.98,Manual Temporal Split
20250513_205111,random,78,0.1,100,50,4000,0.915621437,0.90138292,0.01084314,944.98,Manual Temporal Split
20250513_205111,entropy,78,0.1,100,50,4000,0.913340935,0.913297079,0.011794058,944.98,Manual Temporal Split
20250513_205111,margin,78,0.1,100,50,4000,0.917901938,0.913340935,0.010820451,944.98,Manual Temporal Split
20250513_210537,uncertainty,39,0.1,100,100,4000,0.911060433,0.914890507,0.009548711,480.9,Manual Temporal Split
